Year,Month,FlightDate,Reporting_Airline,Origin,OriginCityName,Dest,DestCityName,DepDelay,ArrDelay,Cancelled,Diverted,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2015,1,2015-01-27,EV,ATL,"Atlanta, GA",MLU,"Monroe, LA",-12.0,2.0,0.0,0.0,448.0,,,,,
2015,1,2015-01-03,WN,ATL,"Atlanta, GA",DAL,"Dallas, TX",3.0,5.0,0.0,0.0,721.0,,,,,
2015,1,2015-01-20,DL,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",-4.0,-29.0,0.0,0.0,373.0,,,,,
2015,1,2015-01-17,DL,ATL,"Atlanta, GA",BOS,"Boston, MA",-1.0,-21.0,0.0,0.0,946.0,,,,,
2015,1,2015-01-06,DL,RSW,"Fort Myers, FL",ATL,"Atlanta, GA",4.0,0.0,0.0,0.0,515.0,,,,,
2015,1,2015-01-26,OO,GRB,"Green Bay, WI",ATL,"Atlanta, GA",80.0,74.0,0.0,0.0,774.0,74.0,0.0,0.0,0.0,0.0
2015,1,2015-01-14,DL,EWR,"Newark, NJ",ATL,"Atlanta, GA",-4.0,7.0,0.0,0.0,746.0,,,,,
2015,1,2015-01-26,WN,SJU,"San Juan, PR",ATL,"Atlanta, GA",4.0,2.0,0.0,0.0,1547.0,,,,,
2015,1,2015-01-26,DL,ROC,"Rochester, NY",ATL,"Atlanta, GA",2.0,-26.0,0.0,0.0,749.0,,,,,
2015,1,2015-01-04,DL,ATL,"Atlanta, GA",OMA,"Omaha, NE",-5.0,-19.0,0.0,0.0,821.0,,,,,
2015,1,2015-01-22,WN,MCO,"Orlando, FL",ATL,"Atlanta, GA",-1.0,-21.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-24,EV,IAD,"Washington, DC",ATL,"Atlanta, GA",6.0,-2.0,0.0,0.0,534.0,,,,,
2015,1,2015-01-26,DL,DAB,"Daytona Beach, FL",ATL,"Atlanta, GA",9.0,7.0,0.0,0.0,366.0,,,,,
2015,1,2015-01-26,DL,ATL,"Atlanta, GA",ALB,"Albany, NY",,,1.0,0.0,853.0,,,,,
2015,1,2015-01-25,DL,FAY,"Fayetteville, NC",ATL,"Atlanta, GA",3.0,-12.0,0.0,0.0,331.0,,,,,
2015,1,2015-01-28,DL,ATL,"Atlanta, GA",DAL,"Dallas, TX",-3.0,-4.0,0.0,0.0,721.0,,,,,
2015,1,2015-01-27,WN,ATL,"Atlanta, GA",MDW,"Chicago, IL",-3.0,5.0,0.0,0.0,591.0,,,,,
2015,1,2015-01-26,DL,BDL,"Hartford, CT",ATL,"Atlanta, GA",2.0,-34.0,0.0,0.0,859.0,,,,,
2015,1,2015-01-26,DL,TYS,"Knoxville, TN",ATL,"Atlanta, GA",-1.0,-17.0,0.0,0.0,152.0,,,,,
2015,1,2015-01-27,US,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",,,1.0,0.0,666.0,,,,,
2015,1,2015-01-04,EV,ATL,"Atlanta, GA",AGS,"Augusta, GA",14.0,9.0,0.0,0.0,143.0,,,,,
2015,1,2015-01-16,DL,BOS,"Boston, MA",ATL,"Atlanta, GA",179.0,145.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,145.0
2015,1,2015-01-05,DL,ATL,"Atlanta, GA",SAV,"Savannah, GA",-1.0,-11.0,0.0,0.0,214.0,,,,,
2015,1,2015-01-10,DL,ATL,"Atlanta, GA",DAL,"Dallas, TX",-1.0,-17.0,0.0,0.0,721.0,,,,,
2015,1,2015-01-16,EV,EWN,"New Bern/Morehead/Beaufort, NC",ATL,"Atlanta, GA",-2.0,-7.0,0.0,0.0,433.0,,,,,
2015,1,2015-01-14,DL,ATL,"Atlanta, GA",SJU,"San Juan, PR",-2.0,-11.0,0.0,0.0,1547.0,,,,,
2015,1,2015-01-26,EV,ATL,"Atlanta, GA",OKC,"Oklahoma City, OK",-1.0,1.0,0.0,0.0,761.0,,,,,
2015,1,2015-01-24,DL,JAX,"Jacksonville, FL",ATL,"Atlanta, GA",-5.0,-12.0,0.0,0.0,270.0,,,,,
2015,1,2015-01-31,WN,ATL,"Atlanta, GA",DTW,"Detroit, MI",-1.0,-16.0,0.0,0.0,594.0,,,,,
2015,1,2015-01-23,DL,ATL,"Atlanta, GA",PBI,"West Palm Beach/Palm Beach, FL",7.0,-11.0,0.0,0.0,545.0,,,,,
2015,1,2015-01-08,DL,ATL,"Atlanta, GA",RDU,"Raleigh/Durham, NC",10.0,-4.0,0.0,0.0,356.0,,,,,
2015,1,2015-01-28,DL,ATL,"Atlanta, GA",SFO,"San Francisco, CA",-4.0,-13.0,0.0,0.0,2139.0,,,,,
2015,1,2015-01-02,EV,ATL,"Atlanta, GA",CHO,"Charlottesville, VA",4.0,4.0,0.0,0.0,457.0,,,,,
2015,1,2015-01-09,DL,ATL,"Atlanta, GA",SRQ,"Sarasota/Bradenton, FL",5.0,5.0,0.0,0.0,444.0,,,,,
2015,1,2015-01-16,DL,ORD,"Chicago, IL",ATL,"Atlanta, GA",28.0,15.0,0.0,0.0,606.0,4.0,0.0,0.0,0.0,11.0
2015,1,2015-01-13,DL,MCO,"Orlando, FL",ATL,"Atlanta, GA",4.0,8.0,0.0,0.0,404.0,,,,,
2015,1,2015-01-04,EV,ATL,"Atlanta, GA",GNV,"Gainesville, FL",14.0,20.0,0.0,0.0,300.0,0.0,0.0,6.0,0.0,14.0
2015,1,2015-01-24,F9,ATL,"Atlanta, GA",DEN,"Denver, CO",-4.0,-10.0,0.0,0.0,1199.0,,,,,
2015,1,2015-01-14,DL,GSO,"Greensboro/High Point, NC",ATL,"Atlanta, GA",-5.0,-6.0,0.0,0.0,306.0,,,,,
2015,1,2015-01-05,US,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",-4.0,7.0,0.0,0.0,1587.0,,,,,
2015,1,2015-01-04,DL,ATL,"Atlanta, GA",RSW,"Fort Myers, FL",-1.0,-3.0,0.0,0.0,515.0,,,,,
2015,1,2015-01-24,US,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",10.0,0.0,0.0,0.0,1587.0,,,,,
2015,1,2015-01-28,AA,ATL,"Atlanta, GA",DFW,"Dallas/Fort Worth, TX",-7.0,-27.0,0.0,0.0,731.0,,,,,
2015,1,2015-01-06,DL,ATL,"Atlanta, GA",GRR,"Grand Rapids, MI",5.0,2.0,0.0,0.0,640.0,,,,,
2015,1,2015-01-08,DL,ATL,"Atlanta, GA",DCA,"Washington, DC",-6.0,-20.0,0.0,0.0,547.0,,,,,
2015,1,2015-01-07,DL,ATL,"Atlanta, GA",GSP,"Greer, SC",-2.0,-20.0,0.0,0.0,153.0,,,,,
2015,1,2015-01-19,DL,DAY,"Dayton, OH",ATL,"Atlanta, GA",-3.0,-21.0,0.0,0.0,432.0,,,,,
